Timestamp,MTQ time,Gyro X,Gyro Y,Gyro Z
14:44:45, 465.402008, 0.840000, -1.050000, -0.140000
14:44:45, 465.502014, 0.840000, -1.050000, -0.070000
14:44:45, 465.601990, 0.840000, -0.980000, -0.140000
14:44:45, 465.701996, 0.840000, -1.120000, -0.070000
14:44:45, 465.802002, 0.840000, -1.120000, -0.140000
14:44:45, 465.902008, 0.910000, -1.050000, -0.140000
14:44:45, 466.002014, 0.840000, -1.120000, -0.140000
14:44:45, 466.101990, 0.840000, -0.980000, -0.140000
14:44:46, 466.201996, 0.840000, -1.120000, -0.140000
14:44:46, 466.302002, 0.770000, -1.050000, -0.140000
14:44:46, 466.402008, 0.770000, -1.190000, -0.210000
14:44:46, 466.502014, 0.840000, -1.120000, -0.210000
14:44:46, 466.601990, 0.770000, -1.050000, -0.140000
14:44:46, 466.701996, 0.840000, -0.980000, -0.140000
14:44:46, 466.802002, 0.840000, -0.980000, -0.210000
14:44:46, 466.902008, 0.910000, -1.050000, -0.140000
14:44:46, 467.002014, 0.910000, -0.980000, -0.140000
14:44:46, 467.101990, 0.840000, -1.120000, -0.140000
14:44:47, 467.201996, 0.910000, -1.050000, -0.210000
14:44:47, 467.302002, 0.840000, -1.120000, -0.140000
14:44:47, 467.402008, 0.840000, -1.050000, -0.140000
14:44:47, 467.502014, 0.840000, -1.050000, -0.140000
14:44:47, 467.601990, 0.840000, -1.050000, -0.140000
14:44:47, 467.701996, 0.840000, -1.050000, -0.140000
14:44:47, 467.802002, 0.840000, -1.120000, -0.140000
14:44:47, 467.902008, 0.910000, -1.050000, -0.140000
14:44:47, 468.002014, 0.840000, -1.120000, -0.140000
14:44:47, 468.101990, 0.770000, -0.980000, -0.140000
14:44:48, 468.201996, 0.840000, -1.050000, -0.140000
14:44:48, 468.302002, 0.910000, -1.050000, -0.140000
14:44:48, 468.402008, 0.840000, -1.120000, -0.210000
14:44:48, 468.502014, 0.980000, -1.050000, -0.210000
14:44:48, 468.601990, 0.840000, -1.050000, -0.140000
14:44:48, 468.701996, 0.700000, -1.050000, -0.140000
14:44:48, 468.802002, 0.910000, -1.050000, -0.140000
14:44:48, 468.902008, 0.840000, -1.120000, -0.070000
14:44:48, 469.002014, 0.910000, -1.050000, -0.140000
14:44:48, 469.101990, 0.910000, -1.120000, -0.210000
14:44:49, 469.201996, 0.910000, -0.980000, -0.210000
14:44:49, 469.302002, 0.910000, -1.120000, -0.140000
14:44:49, 469.402008, 0.910000, -1.050000, -0.070000
14:44:49, 469.502014, 0.910000, -1.120000, -0.140000
14:44:49, 469.601990, 0.840000, -1.050000, -0.070000
14:44:49, 469.701996, 0.840000, -1.120000, -0.140000
14:44:49, 469.802002, 0.840000, -0.980000, -0.140000
14:44:49, 469.902008, 0.770000, -1.120000, -0.140000
14:44:49, 470.002014, 0.840000, -1.050000, -0.210000
14:44:49, 470.101990, 0.840000, -1.120000, -0.140000
14:44:50, 470.201996, 0.910000, -1.190000, -0.070000
14:44:50, 470.302002, 0.840000, -0.910000, -0.140000
14:44:50, 470.402008, 0.770000, -1.190000, -0.140000
14:44:50, 470.502014, 0.910000, -1.050000, -0.140000
14:44:50, 470.601990, 0.840000, -1.050000, -0.070000
14:44:50, 470.701996, 0.770000, -0.980000, -0.140000
14:44:50, 470.802002, 0.910000, -0.980000, -0.140000
14:44:50, 470.902008, 0.840000, -1.050000, -0.210000
14:44:50, 471.002014, 0.910000, -1.120000, -0.140000
14:44:50, 471.101990, 0.770000, -1.120000, -0.210000
14:44:51, 471.201996, 0.840000, -0.980000, -0.210000
14:44:51, 471.302002, 0.770000, -1.120000, -0.210000
14:44:51, 471.402008, 0.910000, -1.050000, -0.210000
14:44:51, 471.502014, 0.770000, -1.120000, -0.140000
14:44:51, 471.601990, 0.840000, -1.050000, -0.070000
14:44:51, 471.701996, 0.840000, -1.050000, -0.070000
14:44:51, 471.802002, 0.910000, -1.120000, -0.140000
14:44:51, 471.902008, 0.840000, -1.120000, -0.140000
14:44:51, 472.002014, 0.910000, -0.980000, -0.140000
14:44:51, 472.101990, 0.840000, -1.120000, -0.140000
14:44:52, 472.201996, 0.910000, -1.050000, -0.210000
14:44:52, 472.302002, 0.770000, -1.050000, -0.140000
14:44:52, 472.402008, 0.910000, -1.120000, -0.140000
14:44:52, 472.502014, 0.840000, -0.980000, -0.140000
14:44:52, 472.601990, 0.910000, -0.980000, -0.140000
14:44:52, 472.701996, 0.840000, -0.980000, -0.140000
14:44:52, 472.802002, 0.840000, -1.120000, -0.140000
14:44:52, 472.902008, 0.840000, -0.980000, -0.070000
14:44:52, 473.002014, 0.840000, -1.120000, -0.140000
14:44:52, 473.101990, 0.910000, -0.980000, -0.140000
14:44:53, 473.201996, 0.840000, -1.050000, -0.140000
14:44:53, 473.302002, 0.840000, -0.910000, -0.070000
14:44:53, 473.402008, 0.840000, -1.120000, -0.070000
14:44:53, 473.502014, 0.840000, -0.980000, -0.210000
14:44:53, 473.601990, 0.840000, -1.120000, -0.140000
14:44:53, 473.701996, 0.840000, -1.050000, -0.210000
14:44:53, 473.802002, 0.910000, -1.120000, -0.070000
14:44:53, 473.902008, 0.910000, -1.120000, -0.210000
14:44:53, 474.002014, 0.980000, -0.980000, -0.140000
